Problem,Dimension,Algorithm,Cost,Time(us),TourLength
a280,280,Concorde,2579,851462,281
ali535,535,Concorde,205258,2243199,536
att48,48,Concorde,10628,84900,49
att532,532,Concorde,27686,12963106,533
bayg29,29,Concorde,1610,18769,30
bays29,29,Concorde,2020,21362,30
berlin52,52,Concorde,7542,47807,53
bier127,127,Concorde,118282,238255,128
brazil58,58,Concorde,25395,93394,59
brg180,180,Concorde,1950,101841,181
burma14,14,Concorde,3505,12947,15
ch130,130,Concorde,6110,210511,131
ch150,150,Concorde,6528,340865,151
d1655,1655,Concorde,62128,33865714,1656
d198,198,Concorde,15780,1940402,199
d493,493,Concorde,35002,13237452,494
d657,657,Concorde,48913,29612457,658
dantzig42,42,Concorde,699,39034,43
dsj1000,1000,Concorde,1.86602e+07,35494333,1001
eil101,101,Concorde,629,87297,102
eil51,51,Concorde,426,45734,52
eil76,76,Concorde,538,46480,77
fl417,417,Concorde,11861,3360383,418
fri26,26,Concorde,937,18290,27
gil262,262,Concorde,2378,1786895,263
gr120,120,Concorde,6942,176940,121
gr137,137,Concorde,70511,543021,138
gr17,17,Concorde,2085,19107,18
gr202,202,Concorde,41853,1043486,203
gr21,21,Concorde,2707,9686,22
gr229,229,Concorde,134760,6971156,230
gr24,24,Concorde,1272,17414,25
gr431,431,Concorde,173354,18842969,432
gr48,48,Concorde,5046,71448,49
gr666,666,Concorde,297760,5129210,667
gr96,96,Concorde,56120,417921,97
hk48,48,Concorde,11461,30093,49
kroA100,100,Concorde,21282,102478,101
kroA150,150,Concorde,26524,1095161,151
kroA200,200,Concorde,29368,515178,201
kroB100,100,Concorde,22141,247807,101
kroB150,150,Concorde,26130,682699,151
kroB200,200,Concorde,29437,406074,201
kroC100,100,Concorde,20749,107849,101
kroD100,100,Concorde,21294,159984,101
kroE100,100,Concorde,22068,260465,101
lin105,105,Concorde,14379,85127,106
lin318,318,Concorde,42029,1416477,319
lin318,318,Concorde,42029,1415543,319
nrw1379,1379,Concorde,56638,44501675,1380
p654,654,Concorde,34643,2492014,655
pa561,561,Concorde,2763,12914801,562
pcb1173,1173,Concorde,56892,31979568,1174
pcb442,442,Concorde,50778,4181889,443
pr1002,1002,Concorde,259045,3356698,1003
pr107,107,Concorde,44303,132498,108
pr124,124,Concorde,59030,586281,125
pr136,136,Concorde,96772,442057,137
pr144,144,Concorde,58537,281932,145
pr152,152,Concorde,73682,1093174,153
pr226,226,Concorde,80369,377008,227
pr2392,2392,Concorde,378032,13424066,2393
pr264,264,Concorde,49135,343427,265
pr299,299,Concorde,48191,2032356,300
pr439,439,Concorde,107217,17294189,440
pr76,76,Concorde,108159,255777,77
rat195,195,Concorde,2323,4870776,196
rat575,575,Concorde,6773,16618010,576
rat783,783,Concorde,8806,5761088,784
rat99,99,Concorde,1211,77695,100
rd100,100,Concorde,7910,97396,101
rd400,400,Concorde,15281,13601235,401
rl1304,1304,Concorde,252948,10344581,1305
si1032,1032,Concorde,92650,2577739,1033
si175,175,Concorde,21407,1447184,176
si535,535,Concorde,48450,3552438,536
st70,70,Concorde,675,78858,71
swiss42,42,Concorde,1273,89916,43
test4,4,Concorde,80,45122,5
ts225,225,Concorde,126643,3181291,226
tsp225,225,Concorde,3916,1864313,226
u1060,1060,Concorde,224094,39986614,1061
u1432,1432,Concorde,152970,12340178,1433
u159,159,Concorde,42080,131656,160
u574,574,Concorde,36905,3229900,575
u724,724,Concorde,41910,28247840,725
ulysses16,16,Concorde,7030,37097,17
ulysses22,22,Concorde,7230,70151,23
vm1084,1084,Concorde,239297,50991622,1085
