Problem,Dimension,Algorithm,Cost,Time(us),TourLength
a280,280,FarthestInsertion,2942,1801,281
ali535,535,FarthestInsertion,231165,13526,536
att48,48,FarthestInsertion,10876,17,49
att532,532,FarthestInsertion,29913,13067,533
bayg29,29,FarthestInsertion,1746,6,30
bays29,29,FarthestInsertion,2028,6,30
berlin52,52,FarthestInsertion,8307,20,53
bier127,127,FarthestInsertion,129206,173,128
brazil58,58,FarthestInsertion,26606,22,59
brg180,180,FarthestInsertion,3180,449,181
burma14,14,FarthestInsertion,3454,2,15
ch130,130,FarthestInsertion,6498,182,131
ch150,150,FarthestInsertion,7209,275,151
d1655,1655,FarthestInsertion,72397,626933,1656
d198,198,FarthestInsertion,16397,650,199
d493,493,FarthestInsertion,38979,11586,494
d657,657,FarthestInsertion,53829,25955,658
dantzig42,42,FarthestInsertion,739,14,43
dsj1000,1000,FarthestInsertion,2.07563e+07,118609,1001
eil101,101,FarthestInsertion,678,105,102
eil51,51,FarthestInsertion,443,22,52
eil76,76,FarthestInsertion,581,48,77
fl417,417,FarthestInsertion,12816,7050,418
fri26,26,FarthestInsertion,937,6,27
gil262,262,FarthestInsertion,2638,1517,263
gr120,120,FarthestInsertion,7287,155,121
gr137,137,FarthestInsertion,76595,220,138
gr17,17,FarthestInsertion,2096,3,18
gr202,202,FarthestInsertion,44501,670,203
gr21,21,FarthestInsertion,2816,4,22
gr229,229,FarthestInsertion,149759,978,230
gr24,24,FarthestInsertion,1319,8,25
gr431,431,FarthestInsertion,191412,8228,432
gr48,48,FarthestInsertion,5151,15,49
gr666,666,FarthestInsertion,330857,26897,667
gr96,96,FarthestInsertion,62283,82,97
hk48,48,FarthestInsertion,12353,17,49
kroA100,100,FarthestInsertion,23356,92,101
kroA150,150,FarthestInsertion,28657,277,151
kroA200,200,FarthestInsertion,31949,657,201
kroB100,100,FarthestInsertion,23222,92,101
kroB150,150,FarthestInsertion,27550,277,151
kroB200,200,FarthestInsertion,31522,651,201
kroC100,100,FarthestInsertion,21699,106,101
kroD100,100,FarthestInsertion,22034,96,101
kroE100,100,FarthestInsertion,23516,99,101
lin105,105,FarthestInsertion,15233,103,106
lin318,318,FarthestInsertion,45816,2739,319
lin318,318,FarthestInsertion,45816,2781,319
nrw1379,1379,FarthestInsertion,62930,283117,1380
p654,654,FarthestInsertion,35671,44362,655
pa561,561,FarthestInsertion,3058,22207,562
pcb1173,1173,FarthestInsertion,65626,204419,1174
pcb442,442,FarthestInsertion,58420,11775,443
pr1002,1002,FarthestInsertion,286492,162527,1003
pr107,107,FarthestInsertion,45397,118,108
pr124,124,FarthestInsertion,65728,170,125
pr136,136,FarthestInsertion,104999,214,137
pr144,144,FarthestInsertion,61974,249,145
pr152,152,FarthestInsertion,76516,299,153
pr226,226,FarthestInsertion,84179,940,227
pr2392,2392,FarthestInsertion,427879,1743456,2393
pr264,264,FarthestInsertion,55334,1606,265
pr299,299,FarthestInsertion,52036,2344,300
pr439,439,FarthestInsertion,121371,8646,440
pr76,76,FarthestInsertion,119692,52,77
rat195,195,FarthestInsertion,2569,625,196
rat575,575,FarthestInsertion,7583,17614,576
rat783,783,FarthestInsertion,9730,46332,784
rat99,99,FarthestInsertion,1313,107,100
rd100,100,FarthestInsertion,8879,100,101
rd400,400,FarthestInsertion,16786,6295,401
rl1304,1304,FarthestInsertion,308693,250107,1305
si1032,1032,FarthestInsertion,98772,118490,1033
si175,175,FarthestInsertion,21733,448,176
si535,535,FarthestInsertion,49762,13662,536
st70,70,FarthestInsertion,719,37,71
swiss42,42,FarthestInsertion,1413,12,43
test4,4,FarthestInsertion,80,0,5
ts225,225,FarthestInsertion,141397,937,226
tsp225,225,FarthestInsertion,4406,969,226
u1060,1060,FarthestInsertion,249265,126913,1061
u1432,1432,FarthestInsertion,173090,326873,1433
u159,159,FarthestInsertion,47493,334,160
u574,574,FarthestInsertion,40740,16925,575
u724,724,FarthestInsertion,46136,35787,725
ulysses16,16,FarthestInsertion,6959,5,17
ulysses22,22,FarthestInsertion,7222,5,23
vm1084,1084,FarthestInsertion,262293,128784,1085
