Problem,Dimension,Algorithm,Cost,Time(us),TourLength
a280,280,LKH3,2579,335890,281
ali535,535,LKH3,205356,1205887,536
att48,48,LKH3,10628,32845,49
att532,532,LKH3,27693,1023718,533
bayg29,29,LKH3,1610,17529,30
bays29,29,LKH3,2020,17241,30
berlin52,52,LKH3,7542,24198,53
bier127,127,LKH3,118282,107437,128
brazil58,58,LKH3,25395,29416,59
brg180,180,LKH3,1950,122926,181
burma14,14,LKH3,3505,6998,15
ch130,130,LKH3,6110,110768,131
ch150,150,LKH3,6528,111384,151
d1655,1655,LKH3,62177,3905794,1656
d198,198,LKH3,15782,246670,199
d493,493,LKH3,35002,849281,494
d657,657,LKH3,48967,1325703,658
dantzig42,42,LKH3,699,25230,43
dsj1000,1000,LKH3,1.86661e+07,2827849,1001
eil101,101,LKH3,629,60496,102
eil51,51,LKH3,426,33238,52
eil76,76,LKH3,538,46287,77
fl417,417,LKH3,11861,570083,418
fri26,26,LKH3,937,14788,27
gil262,262,LKH3,2378,410206,263
gr120,120,LKH3,6942,114356,121
gr137,137,LKH3,70511,91421,138
gr17,17,LKH3,2085,9627,18
gr202,202,LKH3,42407,202747,203
gr21,21,LKH3,2707,11315,22
gr229,229,LKH3,134760,322834,230
gr24,24,LKH3,1272,12788,25
gr431,431,LKH3,173236,860167,432
gr48,48,LKH3,5046,33438,49
gr666,666,LKH3,301543,1472667,667
gr96,96,LKH3,56120,78554,97
hk48,48,LKH3,11461,26062,49
kroA100,100,LKH3,21282,55098,101
kroA150,150,LKH3,26524,112218,151
kroA200,200,LKH3,29368,204125,201
kroB100,100,LKH3,22141,63921,101
kroB150,150,LKH3,26130,136881,151
kroB200,200,LKH3,29437,175998,201
kroC100,100,LKH3,20749,61005,101
kroD100,100,LKH3,21294,67676,101
kroE100,100,LKH3,22068,64932,101
lin105,105,LKH3,14379,57234,106
lin318,318,LKH3,42029,447375,319
lin318,318,LKH3,42029,442475,319
nrw1379,1379,LKH3,56749,3569081,1380
p654,654,LKH3,34870,630558,655
pa561,561,LKH3,2765,812885,562
pcb1173,1173,LKH3,56964,2453382,1174
pcb442,442,LKH3,50778,502420,443
pr1002,1002,LKH3,259045,2221468,1003
pr107,107,LKH3,44303,82016,108
pr124,124,LKH3,59030,57837,125
pr136,136,LKH3,96772,141347,137
pr144,144,LKH3,58590,123850,145
pr152,152,LKH3,73682,62238,153
pr226,226,LKH3,80369,106829,227
pr2392,2392,LKH3,380102,9807723,2393
pr264,264,LKH3,49135,124729,265
pr299,299,LKH3,48191,348233,300
pr439,439,LKH3,107217,861911,440
pr76,76,LKH3,108159,50748,77
rat195,195,LKH3,2323,204451,196
rat575,575,LKH3,6774,997926,576
rat783,783,LKH3,8806,1419232,784
rat99,99,LKH3,1211,65567,100
rd100,100,LKH3,7910,72678,101
rd400,400,LKH3,15281,704791,401
rl1304,1304,LKH3,253309,2339012,1305
si1032,1032,LKH3,92716,594372,1033
si175,175,LKH3,21407,124428,176
si535,535,LKH3,48455,807653,536
st70,70,LKH3,675,51856,71
swiss42,42,LKH3,1273,21130,43
test4,4,LKH3,80,5721,5
ts225,225,LKH3,126713,214998,226
tsp225,225,LKH3,3916,264392,226
u1060,1060,LKH3,224121,2477371,1061
u1432,1432,LKH3,152970,2383810,1433
u159,159,LKH3,42080,73076,160
u574,574,LKH3,36950,951902,575
u724,724,LKH3,41930,1272220,725
ulysses16,16,LKH3,7030,9691,17
ulysses22,22,LKH3,7230,11632,23
vm1084,1084,LKH3,239478,2183504,1085
