Problem,Dimension,Algorithm,Cost,Time(us),TourLength
a280,280,NearestInsertion,3042,1856,281
ali535,535,NearestInsertion,250645,14093,536
att48,48,NearestInsertion,12041,17,49
att532,532,NearestInsertion,34197,13701,533
bayg29,29,NearestInsertion,1830,6,30
bays29,29,NearestInsertion,2250,6,30
berlin52,52,NearestInsertion,8991,18,53
bier127,127,NearestInsertion,144355,182,128
brazil58,58,NearestInsertion,29010,25,59
brg180,180,NearestInsertion,13160,453,181
burma14,14,NearestInsertion,3799,2,15
ch130,130,NearestInsertion,7445,180,131
ch150,150,NearestInsertion,7971,272,151
d1655,1655,NearestInsertion,75603,508197,1656
d198,198,NearestInsertion,18016,704,199
d493,493,NearestInsertion,41278,14778,494
d657,657,NearestInsertion,60276,30627,658
dantzig42,42,NearestInsertion,813,16,43
dsj1000,1000,NearestInsertion,2.2724e+07,149877,1001
eil101,101,NearestInsertion,716,100,102
eil51,51,NearestInsertion,487,20,52
eil76,76,NearestInsertion,611,45,77
fl417,417,NearestInsertion,14825,8017,418
fri26,26,NearestInsertion,1056,11,27
gil262,262,NearestInsertion,2920,2130,263
gr120,120,NearestInsertion,8369,163,121
gr137,137,NearestInsertion,84686,248,138
gr17,17,NearestInsertion,2159,3,18
gr202,202,NearestInsertion,47608,727,203
gr21,21,NearestInsertion,3121,4,22
gr229,229,NearestInsertion,155415,1091,230
gr24,24,NearestInsertion,1379,5,25
gr431,431,NearestInsertion,199878,28941,432
gr48,48,NearestInsertion,5304,23,49
gr666,666,NearestInsertion,359022,38199,667
gr96,96,NearestInsertion,70590,144,97
hk48,48,NearestInsertion,13480,21,49
kroA100,100,NearestInsertion,25887,96,101
kroA150,150,NearestInsertion,31112,325,151
kroA200,200,NearestInsertion,35893,687,201
kroB100,100,NearestInsertion,26875,93,101
kroB150,150,NearestInsertion,31616,290,151
kroB200,200,NearestInsertion,36564,667,201
kroC100,100,NearestInsertion,25640,92,101
kroD100,100,NearestInsertion,25213,95,101
kroE100,100,NearestInsertion,27313,93,101
lin105,105,NearestInsertion,19053,114,106
lin318,318,NearestInsertion,53367,3036,319
lin318,318,NearestInsertion,53367,2870,319
nrw1379,1379,NearestInsertion,68617,294686,1380
p654,654,NearestInsertion,41290,26904,655
pa561,561,NearestInsertion,3322,15773,562
pcb1173,1173,NearestInsertion,71549,158904,1174
pcb442,442,NearestInsertion,60588,8886,443
pr1002,1002,NearestInsertion,310795,170090,1003
pr107,107,NearestInsertion,51810,145,108
pr124,124,NearestInsertion,68355,181,125
pr136,136,NearestInsertion,107060,221,137
pr144,144,NearestInsertion,73304,281,145
pr152,152,NearestInsertion,87845,309,153
pr226,226,NearestInsertion,96383,978,227
pr2392,2392,NearestInsertion,472796,1584902,2393
pr264,264,NearestInsertion,63286,1552,265
pr299,299,NearestInsertion,58325,2270,300
pr439,439,NearestInsertion,132941,9087,440
pr76,76,NearestInsertion,128381,46,77
rat195,195,NearestInsertion,2934,670,196
rat575,575,NearestInsertion,8342,16995,576
rat783,783,NearestInsertion,10921,44480,784
rat99,99,NearestInsertion,1471,114,100
rd100,100,NearestInsertion,9475,92,101
rd400,400,NearestInsertion,18784,5827,401
rl1304,1304,NearestInsertion,320583,229097,1305
si1032,1032,NearestInsertion,96852,108454,1033
si175,175,NearestInsertion,22370,427,176
si535,535,NearestInsertion,49807,13371,536
st70,70,NearestInsertion,819,36,71
swiss42,42,NearestInsertion,1522,12,43
test4,4,NearestInsertion,80,0,5
ts225,225,NearestInsertion,159275,878,226
tsp225,225,NearestInsertion,4704,895,226
u1060,1060,NearestInsertion,278930,112808,1061
u1432,1432,NearestInsertion,175308,303836,1433
u159,159,NearestInsertion,50592,323,160
u574,574,NearestInsertion,45447,16977,575
u724,724,NearestInsertion,51584,35615,725
ulysses16,16,NearestInsertion,7772,5,17
ulysses22,22,NearestInsertion,8083,5,23
vm1084,1084,NearestInsertion,283273,129701,1085
