Problem,Dimension,Algorithm,Cost,Time(us),TourLength
a280,280,NearestNeighbour,3157,92,281
ali535,535,NearestNeighbour,251661,287,536
att48,48,NearestNeighbour,12861,7,49
att532,532,NearestNeighbour,35516,356,533
bayg29,29,NearestNeighbour,2005,3,30
bays29,29,NearestNeighbour,2258,2,30
berlin52,52,NearestNeighbour,8980,7,53
bier127,127,NearestNeighbour,135737,21,128
brazil58,58,NearestNeighbour,30774,9,59
brg180,180,NearestNeighbour,12360,37,181
burma14,14,NearestNeighbour,4501,1,15
ch130,130,NearestNeighbour,7579,27,131
ch150,150,NearestNeighbour,8191,43,151
d1655,1655,NearestNeighbour,74033,2342,1656
d198,198,NearestNeighbour,18240,48,199
d493,493,NearestNeighbour,41665,288,494
d657,657,NearestNeighbour,61627,501,658
dantzig42,42,NearestNeighbour,956,4,43
dsj1000,1000,NearestNeighbour,2.46315e+07,1105,1001
eil101,101,NearestNeighbour,803,20,102
eil51,51,NearestNeighbour,511,6,52
eil76,76,NearestNeighbour,642,12,77
fl417,417,NearestNeighbour,15013,182,418
fri26,26,NearestNeighbour,1112,1,27
gil262,262,NearestNeighbour,3208,106,263
gr120,120,NearestNeighbour,9351,26,121
gr137,137,NearestNeighbour,99054,29,138
gr17,17,NearestNeighbour,2187,1,18
gr202,202,NearestNeighbour,49625,53,203
gr21,21,NearestNeighbour,3333,1,22
gr229,229,NearestNeighbour,171882,62,230
gr24,24,NearestNeighbour,1553,2,25
gr431,431,NearestNeighbour,225195,201,432
gr48,48,NearestNeighbour,6098,6,49
gr666,666,NearestNeighbour,362979,491,667
gr96,96,NearestNeighbour,69323,17,97
hk48,48,NearestNeighbour,13181,6,49
kroA100,100,NearestNeighbour,27807,31,101
kroA150,150,NearestNeighbour,33633,42,151
kroA200,200,NearestNeighbour,35859,61,201
kroB100,100,NearestNeighbour,29158,21,101
kroB150,150,NearestNeighbour,34499,38,151
kroB200,200,NearestNeighbour,36980,60,201
kroC100,100,NearestNeighbour,26227,19,101
kroD100,100,NearestNeighbour,26947,18,101
kroE100,100,NearestNeighbour,27460,20,101
lin105,105,NearestNeighbour,20356,14,106
lin318,318,NearestNeighbour,54019,112,319
lin318,318,NearestNeighbour,54019,106,319
nrw1379,1379,NearestNeighbour,68964,1839,1380
p654,654,NearestNeighbour,43457,369,655
pa561,561,NearestNeighbour,3422,323,562
pcb1173,1173,NearestNeighbour,71978,1249,1174
pcb442,442,NearestNeighbour,61979,258,443
pr1002,1002,NearestNeighbour,331103,943,1003
pr107,107,NearestNeighbour,46680,14,108
pr124,124,NearestNeighbour,69297,20,125
pr136,136,NearestNeighbour,120769,25,137
pr144,144,NearestNeighbour,61652,24,145
pr152,152,NearestNeighbour,85699,28,153
pr226,226,NearestNeighbour,94683,49,227
pr2392,2392,NearestNeighbour,461170,4047,2393
pr264,264,NearestNeighbour,58023,81,265
pr299,299,NearestNeighbour,59890,140,300
pr439,439,NearestNeighbour,131281,225,440
pr76,76,NearestNeighbour,153462,9,77
rat195,195,NearestNeighbour,2752,43,196
rat575,575,NearestNeighbour,8605,327,576
rat783,783,NearestNeighbour,11054,677,784
rat99,99,NearestNeighbour,1554,15,100
rd100,100,NearestNeighbour,9938,17,101
rd400,400,NearestNeighbour,19183,209,401
rl1304,1304,NearestNeighbour,335779,1719,1305
si1032,1032,NearestNeighbour,94571,950,1033
si175,175,NearestNeighbour,22263,38,176
si535,535,NearestNeighbour,50144,246,536
st70,70,NearestNeighbour,830,11,71
swiss42,42,NearestNeighbour,1630,4,43
test4,4,NearestNeighbour,95,0,5
ts225,225,NearestNeighbour,152493,52,226
tsp225,225,NearestNeighbour,5030,59,226
u1060,1060,NearestNeighbour,308980,1003,1061
u1432,1432,NearestNeighbour,188807,1773,1433
u159,159,NearestNeighbour,54675,32,160
u574,574,NearestNeighbour,50459,319,575
u724,724,NearestNeighbour,52943,532,725
ulysses16,16,NearestNeighbour,8200,1,17
ulysses22,22,NearestNeighbour,8367,1,23
vm1084,1084,NearestNeighbour,301477,1050,1085
